BEGIN		 (-1, -1)
int		 (-1, -1)
sum		 (3, 2)
=		 (-1, -1)
;		 (-1, -1)
int		 (-1, -1)
aux		 (5, 2)
;		 (-1, -1)
int		 (-1, -1)
n		 (7, 2)
;		 (-1, -1)
int		 (-1, -1)
i		 (9, 2)
=		 (-1, -1)
;		 (-1, -1)
array		 (-1, -1)
[		 (-1, -1)
]		 (-1, -1)
of		 (-1, -1)
int		 (-1, -1)
numbers		 (11, 7)
;		 (-1, -1)
read		 (-1, -1)
(		 (-1, -1)
n		 (13, 3)
)		 (-1, -1)
;		 (-1, -1)
for		 (-1, -1)
(		 (-1, -1)
i		 (15, 3)
=		 (-1, -1)
;		 (-1, -1)
i		 (15, 7)
<		 (-1, -1)
n		 (15, 9)
;		 (-1, -1)
i		 (15, 11)
+		 (-1, -1)
+		 (-1, -1)
)		 (-1, -1)
{		 (-1, -1)
read		 (-1, -1)
(		 (-1, -1)
aux		 (17, 3)
)		 (-1, -1)
;		 (-1, -1)
sum		 (19, 1)
=		 (-1, -1)
sum		 (19, 3)
+		 (-1, -1)
aux		 (19, 5)
;		 (-1, -1)
}		 (-1, -1)
write		 (-1, -1)
(		 (-1, -1)
sum		 (22, 3)
)		 (-1, -1)
;		 (-1, -1)
END		 (-1, -1)
